PCD,LAT,LNG
"TN1","51.13478003797468354430379746835443","0.2665403240506329113924050632911392"
"TN10","51.21200552020202020202020202020202","0.2840857676767676767676767676767677"
"TN11","51.20699837162162162162162162162162","0.2647379493243243243243243243243243"
"TN12","51.17248134324553950722175021240442","0.4441040288870008496176720475785896"
"TN13","51.27688669315403422982885085574572","0.1838784559902200488997555012224939"
"TN14","51.29786802777777777777777777777778","0.1574491336805555555555555555555556"
"TN15","51.30267219509594882729211087420043","0.2745615330490405117270788912579957"
"TN16","51.29292208617886178861788617886179","0.05178564390243902439024390243902439"
"TN17","51.09625100765696784073506891271057","0.5366842082695252679938744257274119"
"TN18","51.04299664637681159420289855072464","0.5225843362318840579710144927536232"
"TN19","51.00276400540540540540540540540541","0.4057168"
"TN2","51.12648610731707317073170731707317","0.2732300731707317073170731707317073"
"TN20","51.01678231073446327683615819209040","0.2503597175141242937853107344632768"
"TN21","50.95849820923520923520923520923521","0.2630669163059163059163059163059163"
"TN22","50.98223661507128309572301425661914","0.1004670743380855397148676171079430"
"TN23","51.13997655809334657398212512413108","0.8570722681231380337636544190665343"
"TN24","51.14972903542234332425068119891008","0.8874188092643051771117166212534060"
"TN25","51.14172552496433666191155492154066","0.9384706761768901569186875891583452"
"TN26","51.09636936309523809523809523809524","0.7973144305555555555555555555555556"
"TN27","51.16793232945091514143094841930116","0.6959073843594009983361064891846922"
"TN28","50.98277330344827586206896551724138","0.9509725344827586206896551724137931"
"TN29","50.99383738878143133462282398452611","0.9325235125725338491295938104448743"
"TN3","51.12078398579040852575488454706927","0.2481301918294849023090586145648313"
"TN30","51.062377672","0.696771576"
"TN31","50.96304303551401869158878504672897","0.6858579084112149532710280373831776"
"TN32","50.97893554008438818565400843881857","0.4917429198312236286919831223628692"
"TN33","50.91118786710239651416122004357298","0.4756902091503267973856209150326797"
"TN34","50.86498111126564673157162726008345","0.5821049791376912378303198887343533"
"TN35","50.88289788775510204081632653061224","0.6140086198979591836734693877551020"
"TN36","50.92030388118811881188118811881188","0.6990219702970297029702970297029703"
"TN37","50.87233276853932584269662921348315","0.5572628292134831460674157303370787"
"TN38","50.86382181377151799687010954616588","0.5437278435054773082942097026604069"
"TN39","50.84680754166666666666666666666667","0.4514010505952380952380952380952381"
"TN4","51.14567105844155844155844155844156","0.2548414662337662337662337662337662"
"TN40","50.84502567403314917127071823204420","0.4823864235727440147329650092081031"
"TN5","51.05908972952853598014888337468983","0.3647215384615384615384615384615385"
"TN6","51.05230615731707317073170731707317","0.1755267292682926829268292682926829"
"TN7","51.09619532653061224489795918367347","0.1023202142857142857142857142857143"
"TN8","51.19508437434094903339191564147627","0.07801006151142355008787346221441125"
"TN9","51.19172714893617021276595744680851","0.2745145725338491295938104448742747"
