PCD,LAT,LNG
"TN1 1","51.13101211046511627906976744186047","0.2631007616279069767441860465116279"
"TN1 2","51.13768624215246636771300448430493","0.2691932600896860986547085201793722"
"TN10 3","51.21234685990338164251207729468599","0.2760235024154589371980676328502415"
"TN10 4","51.21163167195767195767195767195767","0.2929158677248677248677248677248677"
"TN11 0","51.20870711940298507462686567164179","0.3267833731343283582089552238805970"
"TN11 8","51.18923640641711229946524064171123","0.1975057593582887700534759358288770"
"TN11 9","51.22159655392156862745098039215686","0.2652344656862745098039215686274510"
"TN12 0","51.16423796137339055793991416309013","0.5480783862660944206008583690987124"
"TN12 5","51.21492729411764705882352941176471","0.3841126838235294117647058823529412"
"TN12 6","51.17993634265734265734265734265734","0.3833218811188811188811188811188811"
"TN12 7","51.14985101324503311258278145695364","0.3851577152317880794701986754966887"
"TN12 8","51.13955090434782608695652173913043","0.4327334"
"TN12 9","51.17724739453125","0.48912358984375"
"TN13 1","51.26691857203389830508474576271186","0.1898989025423728813559322033898305"
"TN13 2","51.28240925106382978723404255319149","0.1677239957446808510638297872340426"
"TN13 3","51.28216860142348754448398576512456","0.1905102989323843416370106761565836"
"TN13 9","51.2703785","0.1916348939393939393939393939393939"
"TN14 5","51.30076566831683168316831683168317","0.1878253663366336633663366336633663"
"TN14 6","51.25507742948717948717948717948718","0.1505765448717948717948717948717949"
"TN14 7","51.32580385321100917431192660550459","0.1342203486238532110091743119266055"
"TN15 0","51.27388333668341708542713567839196","0.2449470904522613065326633165829146"
"TN15 6","51.32584203191489361702127659574468","0.2428099858156028368794326241134752"
"TN15 7","51.32182068023255813953488372093023","0.3120312267441860465116279069767442"
"TN15 8","51.28976082159624413145539906103286","0.3115594929577464788732394366197183"
"TN15 9","51.28394541666666666666666666666667","0.2818095555555555555555555555555556"
"TN16 1","51.26840112272727272727272727272727","0.08150980909090909090909090909090909"
"TN16 2","51.29200194827586206896551724137931","0.04071885344827586206896551724137931"
"TN16 3","51.31255132830188679245283018867925","0.03290722264150943396226415094339623"
"TN16 9","51.314322","0.03372942857142857142857142857142857"
"TN17 1","51.11770464705882352941176470588235","0.4623482605042016806722689075630252"
"TN17 2","51.11389157070707070707070707070707","0.5297074242424242424242424242424242"
"TN17 3","51.09394945454545454545454545454545","0.5338185636363636363636363636363636"
"TN17 4","51.05994309615384615384615384615385","0.6054312948717948717948717948717949"
"TN17 9","51.09611606666666666666666666666667","0.535062"
"TN18 4","51.04569479326923076923076923076923","0.5062340288461538461538461538461538"
"TN18 5","51.03890018978102189781021897810219","0.5474081605839416058394160583941606"
"TN19 7","51.00276400540540540540540540540541","0.4057168"
"TN2 3","51.14488655290102389078498293515358","0.2835173071672354948805460750853242"
"TN2 4","51.14308373819742489270386266094421","0.3116351545064377682403433476394850"
"TN2 5","51.12158577593360995850622406639004","0.2631967344398340248962655601659751"
"TN2 9","50.97407858490566037735849056603774","0.093145"
"TN20 6","51.01678231073446327683615819209040","0.2503597175141242937853107344632768"
"TN21 0","50.95280644827586206896551724137931","0.2315367088122605363984674329501916"
"TN21 1","50.971334","0.251374"
"TN21 8","50.97074393725490196078431372549020","0.2647659411764705882352941176470588"
"TN21 9","50.94764281212121212121212121212121","0.3111666"
"TN22 1","50.975689","0.1006749344978165938864628820960699"
"TN22 2","50.9855225125","0.0876745"
"TN22 3","51.01150029411764705882352941176471","0.05937175113122171945701357466063348"
"TN22 4","50.99628818796992481203007518796992","0.1473010075187969924812030075187970"
"TN22 5","50.95942547986577181208053691275168","0.1143034194630872483221476510067114"
"TN22 9","50.96786128571428571428571428571429","0.08645414285714285714285714285714286"
"TN23 1","51.14866141025641025641025641025641","0.8683643760683760683760683760683761"
"TN23 3","51.13883867259786476868327402135231","0.8514115195729537366548042704626335"
"TN23 4","51.14231886776859504132231404958678","0.8541294958677685950413223140495868"
"TN23 5","51.13517787109375","0.847779328125"
"TN23 6","51.13215391666666666666666666666667","0.8637214791666666666666666666666667"
"TN23 7","51.13976469333333333333333333333333","0.8694196266666666666666666666666667"
"TN23 8","51.13697228571428571428571428571429","0.8241064285714285714285714285714286"
"TN23 9","51.14645762745098039215686274509804","0.8765831372549019607843137254901961"
"TN24 0","51.13795871337579617834394904458599","0.8968429331210191082802547770700637"
"TN24 8","51.15149905825242718446601941747573","0.8752398786407766990291262135922330"
"TN24 9","51.16529565420560747663551401869159","0.8853145327102803738317757009345794"
"TN25 4","51.18709319075144508670520231213873","0.8730939248554913294797687861271676"
"TN25 5","51.16917256603773584905660377358491","0.9598158679245283018867924528301887"
"TN25 6","51.11593585714285714285714285714286","0.9876221651785714285714285714285714"
"TN25 7","51.09734069655172413793103448275862","0.9171352206896551724137931034482759"
"TN26 1","51.13721322321428571428571428571429","0.8235744107142857142857142857142857"
"TN26 2","51.05771293103448275862068965517241","0.8402616379310344827586206896551724"
"TN26 3","51.10623957798165137614678899082569","0.7495441009174311926605504587155963"
"TN27 0","51.197434105","0.77962606"
"TN27 8","51.12669522162162162162162162162162","0.6562039027027027027027027027027027"
"TN27 9","51.17593468981481481481481481481481","0.6523953888888888888888888888888889"
"TN28 8","50.98269738028169014084507042253521","0.9511597077464788732394366197183099"
"TN28 9","50.986367","0.942113"
"TN29 0","51.02359545559845559845559845559846","0.9693651776061776061776061776061776"
"TN29 9","50.96396398062015503875968992248062","0.8955390503875968992248062015503876"
"TN3 0","51.14400308219178082191780821917808","0.2157231187214611872146118721461187"
"TN3 8","51.10100281481481481481481481481481","0.3833178518518518518518518518518519"
